0,-515,20,0,0,-13187
2,-478,7,0,0,-13191
4,-500,-10,0,0,-13170
6,-484,-28,0,0,-13166
8,-519,-18,0,0,-13179
10,-458,-15,0,0,-13159
12,-494,-4,0,0,-13160
14,-482,13,0,0,-13166
16,-507,1,0,0,-13180
18,-510,10,0,0,-13175
20,-478,4,0,0,-13155
22,-492,16,0,0,-13156
24,-510,11,0,0,-13152
26,-483,-5,0,0,-13143
28,-476,33,0,0,-13174
30,-483,4,0,0,-13157
32,-498,4,0,0,-13151
34,-495,30,0,0,-13174
36,-475,26,0,0,-13169
38,-507,5,0,0,-13039
40,-488,13,0,0,-13155
42,-475,8,0,0,-13161
44,-528,2,0,0,-13179
46,-490,0,0,0,-13158
48,-472,25,0,0,-13166
50,-481,36,0,0,-13169
52,-510,16,0,0,-13158
54,-486,22,0,0,-13174
56,-499,24,0,0,-13160
58,-494,27,0,0,-13166
60,-486,-5,0,0,-13153
62,-473,3,0,0,-13138
64,-478,3,0,0,-13162
66,-470,18,0,0,-13161
68,-503,5,0,0,-13162
70,-469,11,0,0,-13163
72,-494,4,0,0,-13142
74,-492,8,0,0,-13166
76,-500,-3,0,0,-13155
78,-478,5,0,0,-13156
80,-474,11,0,0,-13170
82,-501,5,0,0,-13152
84,-476,21,0,0,-13180
86,-510,22,0,0,-13171
88,-475,-2,0,0,-13148
90,-482,11,0,0,-13177
92,-517,1,0,0,-13160
94,-487,16,0,0,-13182
96,-472,-15,0,0,-13154
98,-514,-21,0,0,-13151
100,-494,-12,0,0,-13160
102,-511,-14,0,0,-13156
104,-475,13,0,0,-13190
106,-478,-8,0,0,-13156
108,-513,-3,0,0,-13170
110,-482,-3,0,0,-13169
112,-465,2,0,0,-13146
114,-503,20,0,0,-13184
116,-508,-4,0,0,-13158
118,-477,10,0,0,-13175
120,-485,18,0,0,-13163
122,-476,2,0,0,-13139
124,-475,29,0,0,-13171
126,-501,16,0,0,-13150
128,-500,18,0,0,-13149
130,-501,-4,0,0,-13139
132,-475,-3,0,0,-13136
134,-487,19,0,0,-13158
136,-482,17,0,0,-13148
138,-464,27,0,0,-13171
140,-467,21,0,0,-13158
142,-512,12,0,0,-13185
144,-491,-4,0,0,-13178
146,-482,-2,0,0,-13182
148,-527,-3,0,0,-13196
150,-474,-5,0,0,-13175
152,-478,-4,0,0,-13189
154,-483,-3,0,0,-13177
156,-484,7,0,0,-13188
158,-513,2,0,0,-13194
160,-475,25,0,0,-13172
162,-465,18,0,0,-13157
164,-494,8,0,0,-13144
166,-500,21,0,0,-13156
168,-470,-11,0,0,-13147
170,-494,22,0,0,-13156
172,-479,9,0,0,-13158
174,-511,12,0,0,-13154
176,-474,18,0,0,-13156
178,-480,0,0,0,-13146
180,-496,9,0,0,-13148
182,-468,22,0,0,-13165
184,-483,-2,0,0,-13152
186,-495,12,0,0,-13138
188,-498,16,0,0,-13139
190,-502,4,0,0,-13137
192,-484,20,0,0,-13161
194,-463,2,0,0,-13142
196,-500,12,0,0,-13139
198,-477,20,0,0,-13163
200,-499,18,0,0,-13160
202,-476,24,0,0,-13163
204,-465,13,0,0,-13165
206,-490,32,0,0,-13159
208,-476,30,0,0,-13168
210,-502,18,0,0,-13161
212,-479,1,0,0,-13135
214,-473,18,0,0,-13169
216,-472,9,0,0,-13167
218,-459,21,0,0,-13174
220,-468,32,0,0,-13161
222,-469,18,0,0,-13159
224,-490,7,0,0,-13146
226,-497,4,0,0,-13150
228,-516,12,0,0,-13169
230,-504,0,0,0,-13148
232,-510,6,0,0,-13145
234,-529,15,0,0,-13155
236,-482,0,0,0,-13170
238,-489,-17,0,0,-13154
240,-525,-1,0,0,-13174
242,-495,5,0,0,-13179
244,-480,-10,0,0,-13179
246,-499,-17,0,0,-13168
248,-507,1,0,0,-13168
250,-483,-18,0,0,-13173
252,-478,-5,0,0,-13171
254,-473,32,0,0,-13170
256,-464,10,0,0,-13146
258,-467,-1,0,0,-13156
260,-488,11,0,0,-13157
262,-458,21,0,0,-13165
264,-477,31,0,0,-13158
266,-492,28,0,0,-13167
268,-489,19,0,0,-13157
